,bowler_name,date,inning,opposition,runs_conceded,wickets_taken,balls_bowled,num_dots,team,year,economy_rate
218,Ajantha Mendis,2014-02-14,1,Bangladesh,20.0,1.0,25,15,Sri Lanka,14-16,4.8
219,Ajantha Mendis,2014-03-22,2,South Africa,44.0,1.0,24,6,Sri Lanka,14-16,11.0
220,Ajantha Mendis,2014-03-24,1,Netherlands,12.0,4.0,15,8,Sri Lanka,14-16,4.8
221,Ajantha Mendis,2014-03-27,2,England,52.0,0.0,24,4,Sri Lanka,14-16,13.0
222,Ajay Lalcheta,2015-11-21,1,Hong Kong,13.0,1.0,24,15,Oman,14-16,3.25
223,Ajay Lalcheta,2015-11-22,2,United Arab Emirates,17.0,1.0,24,12,Oman,14-16,4.25
224,Ajay Lalcheta,2015-11-25,2,Hong Kong,30.0,0.0,25,9,Oman,14-16,7.2
225,Ajay Lalcheta,2015-11-26,2,Hong Kong,29.0,1.0,24,11,Oman,14-16,7.25
226,Ajay Lalcheta,2015-11-29,1,Afghanistan,18.0,1.0,24,16,Oman,14-16,4.5
227,Ajay Lalcheta,2015-11-30,1,Afghanistan,35.0,0.0,24,7,Oman,14-16,8.75
228,Ajay Lalcheta,2016-02-19 00:00:00,2,Hong Kong,29.0,1.0,24,9,Oman,14-16,7.25
229,Ajay Lalcheta,2016-02-20 00:00:00,2,Afghanistan,43.0,1.0,21,4,Oman,14-16,12.2857142857
230,Ajit Agarkar,2006-12-01,1,South Africa,10.0,2.0,15,11,India,05-07,4.0
231,Ajit Agarkar,2007-09-14,2,Pakistan,35.0,1.0,24,7,India,05-07,8.75
232,Ajit Agarkar,2007-09-16,1,New Zealand,40.0,0.0,24,8,India,05-07,10.0
233,Ajmal Shahzad,2010-02-20,2,Pakistan,38.0,2.0,24,10,England,08-10,9.5
234,Ajmal Shahzad,2011-01-12,1,Australia,24.0,0.0,25,10,England,11-13,5.76
235,Ajmal Shahzad,2011-01-14,1,Australia,34.0,1.0,18,7,England,11-13,11.3333333333
236,Akila Dananjaya,2012-09-27,1,New Zealand,32.0,2.0,24,7,Sri Lanka,11-13,8.0
237,Akila Dananjaya,2012-10-01,2,England,26.0,2.0,24,8,Sri Lanka,11-13,6.5
238,Akila Dananjaya,2012-10-07,1,West Indies,16.0,1.0,18,8,Sri Lanka,11-13,5.33333333333
239,Akila Dananjaya,2013-01-28,2,Australia,12.0,0.0,6,2,Sri Lanka,11-13,12.0
240,Al-Amin Hossain,2013-11-06,1,New Zealand,30.0,2.0,25,9,Bangladesh,11-13,7.2
241,Al-Amin Hossain,2014-03-16,1,Afghanistan,16.0,0.0,13,8,Bangladesh,14-16,7.38461538462
242,Al-Amin Hossain,2014-03-18,1,Nepal,13.0,3.0,28,21,Bangladesh,14-16,2.78571428571
