batsman_name,runs_batter,balls,wicket,strike_rate,average
Stefan Kelly,8.0,16,1.0,50.0,8.0
Stephan Myburgh,51.0,34,1.0,150.0,51.0
Steve O'Keefe,4.0,6,2.0,66.6666666667,2.0
Steven Outerbridge,17.0,13,0.0,130.769230769,inf
Steven Smith,72.0,51,4.0,141.176470588,18.0
Stuart Binny,11.0,6,1.0,183.333333333,11.0
Stuart Broad,77.0,71,9.0,108.450704225,8.55555555556
Stuart Matsikenyeri,6.0,7,3.0,85.7142857143,2.0
Stuart Poynter,3.0,4,1.0,75.0,3.0
Stuart Thompson,23.0,23,1.0,100.0,23.0
Subash Khakurel,15.0,9,1.0,166.666666667,15.0
Sulieman Benn,8.0,15,1.0,53.3333333333,8.0
Sultan Ahmed,14.0,11,2.0,127.272727273,7.0
Sunil Dhaniram,18.0,19,3.0,94.7368421053,6.0
Sunil Narine,35.0,34,1.0,102.941176471,35.0
Suresh Raina,311.0,199,11.0,156.281407035,28.2727272727
Swapnil Patil,11.0,17,1.0,64.7058823529,11.0
Syed Rasel,7.0,9,2.0,77.7777777778,3.5
Tamauri Tucker,1.0,7,1.0,14.2857142857,1.0
Tamim Iqbal,18.0,13,1.0,138.461538462,18.0
Tanmay Mishra,2.0,3,1.0,66.6666666667,2.0
Tanwir Afzal,39.0,32,5.0,121.875,7.8
Taskin Ahmed,1.0,2,0.0,50.0,inf
Tatenda Taibu,25.0,22,0.0,113.636363636,inf
Tawanda Mupariwa,2.0,2,0.0,100.0,inf
Tendai Chisoro,7.0,10,0.0,70.0,inf
Thilan Thushara,1.0,2,1.0,50.0,1.0
Thilina Kandamby,2.0,2,1.0,100.0,2.0
Thisara Perera,271.0,153,6.0,177.124183007,45.1666666667
Thomas Odoyo,13.0,6,1.0,216.666666667,13.0
Tillakaratne Dilshan,221.0,116,7.0,190.517241379,31.5714285714
Tim Bresnan,51.0,42,5.0,121.428571429,10.2
Tim Gruijters,32.0,24,0.0,133.333333333,inf
Tim Murtagh,15.0,14,1.0,107.142857143,15.0
Tim Southee,4.0,10,2.0,40.0,2.0
Timm van der Gugten,12.0,5,0.0,240.0,inf
